School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description,ED Match Count,ED Keywords Matched,AI Match Count,AI Keywords Matched,EDxAI Match Count,EDxAI Keywords Matched
BCIT,MATH 3499,Ordinary Differential Equations and Linear Systems for Mechanical Engineers, , ,"This course is a combination of vector and matrix algebra and an introduction to ordinary differential equations. It covers the basics of vectors - vector algebra, dot product, cross product – as well as solving systems of linear equations using methods such as Gaussian elimination and matrix inversion. Matrix algebra, linear transformations, eigenvalues and eigenvectors, similarity of matrices will all be covered. For differential equations, analytic solutions of first-order differential equations and higher-order differential equations with constant coefficients are discussed. Numerical solutions of initial value problems involving a single first-order differential equation and systems of first-order differential equations will be performed using appropriate computer tools such as Excel or Maple. For all course topics an emphasis will be placed on solving engineering problems.Prerequisite(s): Completion of Levels 1 and 2.",1,product,0,,0,
BCIT,MECH 3325,Fluid Mechanics, , ,"This course introduces topics in fluid mechanics. Topics covered include: fluid properties; energy losses; Reynold's number; Moody diagram; simple pipe networks, pumps, lift and drag and fluid statics. Laboratory sessions reinforce lecture material.Prerequisite(s): MECH 1120",1,material,0,,0,
BCIT,MECH 3340,Machine Design 1, , ,"Introduces machine design, with emphasis on elementary design and analytical procedures for machine components. The course covers theories of failure, combined stresses, stress concentration, fatigue phenomena, welded and threaded connections. Problems are handles in both S.I. and Imperial units.Prerequisite(s): MECH 2240",1,component,0,,0,
BCIT,MECH 3346,Computer Aided Engineering, , ,"The course introduces computer aided modelling, analysis, and simulation for mechanical components and assemblies. Engineering problems are solved by both manual calculations and computer modelling using commercial modelling and analysis software. Computer aided analysis and simulation include Finite Element Analysis (FEA), 3D frame analysis, part and assembly model analysis, and dynamic simulation.Prerequisite(s): MATH 2491 and MECH 2202 and MECH 2240",3,"assembly, component, model",0,,0,
BCIT,MECH 3355,Fluid Power 1, , ,"Introduces pneumatic and hydraulic power transmission systems, and their mechanical and electrical controls. Fluid power components, their symbols, function, and construction are examined, and used in the design and testing of related control circuits. Covers sizing calculations, maintenance, and troubleshooting of components and circuits.Prerequisite(s): MECH 1141 or PHYS 2164",3,"component, function, maintenance",0,,0,
BCIT,COMM 2269,Technical Communication 2 for Mechanical Engineering, , ,"COMM 2269 is integrated and taught concurrently with the fourth-term project course in either the mechanical manufacturing, mechanical design, or mechanical systems option. The course is delivered primarily in a workshop style which enables students to work independently and strengthen self-regulatory behaviour. In COMM 2269, students explore the interpersonal, intercultural, and technical communication skills introduced in COMM 1169 more deeply. The semester-long process of bringing a project to life requires students to demonstrate resilience to constraints, experience uncertainty, synthesize concepts, connect information, and achieve fresh insights. Students may create new knowledge or achieve innovation. COMM 2269 covers the following topics: research skills and documentation systems, formal reports, progress reports, meeting documentation, teamwork strategies, professional job package, techniques for effective visual design, and professional technical presentations. Students receive and have the opportunity to respond to verbal and written feedback on their project as the course progresses. Depending on the nature and scope of the final project, reports and oral presentations may be prepared and submitted in collaborative teams. Culminating outcomes for COMM 2269 are the final technical report, final technical presentation, final critical reflections, and participation in the Engineering Project Expo (all engineering project showcase).Prerequisite(s): COMM 1169",4,"concept, constraint, documentation, technical communication",0,,0,
BCIT,MATH 4499,Applied Differential Equations and Vector Calculus, , ,"Analytic solutions of first-order and linear second-order differential equations are covered. Eigenvalue methods are employed to solve systems of homogeneous differential equations and extended to the inhomogeneous case. Series solutions to higher-order differential equations with non-constant coefficients and Laplace transform methods for initial value problems are developed. Partial differential equations are introduced and solved using Fourier integral methods under a variety of boundary conditions. Vector functions and their associated operations are introduced, starting with differential operations (i.e. curl and divergence) and then integral operations (i.e. line integrals, surface integrals) including Stokes', Green's and Divergence theorems. The emphasis of the material is on its use in areas such as fluid flow and mechanics of solids. The laboratory component of the course emphasizes engineering applications in mechanical vibrations, control systems, robotics, fluid dynamics, material mechanics and system modelling. A computing tool such as Maple or MatLab is used throughout.Prerequisite(s): MATH 3499",3,"component, function, material",0,,0,
BCIT,MECH 4422,Thermal Engineering, , ,"This course is concerned with the topics of energy, heat and work. A practical and rigorous presentation of the first and second laws of thermodynamics will be presented. The concept of a thermodynamic cycle will be introduced. Several working fluids, including steam will be studied. These concepts will be used to analyze various energy systems including power generation, internal combustion engines, and refrigeration cycles. Heat transfer analysis is presented; including heat conduction in solids and analysis of fins, forced convection heat transfer in and around circular pipes and the analysis of heat exchangers. The concepts of humidity and saturation will be introduced and used to analyze air conditioning systems.Prerequisite(s): MECH 1120",1,concept,0,,0,
BCIT,MECH 4440,Machine Design 2, , ,"Continues from MECH 3340. Covers couplings, brakes and clutches, anti-friction and journal bearings, helical, bevel and worm gearing, power screws, springs and machine assembly topics. Introduction to mechanical vibrations with emphasis on critical speeds of rotating bodies. Introduction to bulk materials handling systems.Prerequisite(s): MECH 2241 and MECH 3340",2,"assembly, material",0,,0,
BCIT,MECH 4450,Mechanical Control Systems, , ,"Presents descriptions of components in a programmable logic controller (PLC). Create ladder logic diagrams and use high-level softwares for programming a PLC. Selection of hardware components such as encoders, proximity sensors and actuators. Study of DC motor characteristics and load requirements. Compares open and closed loop systems.Prerequisite(s): ELEX 2845",1,component,0,,0,
BCIT,MECH 4455,Fluid Power 2, , ,"Describes and analyses complex hydraulic and pneumatic components and their applications. Discusses hydrostatic transmissions, advanced hydraulic controls, and methods of improving system efficiency. Introduces the use of electronic controls in hydraulic and pneumatic circuits.Prerequisite(s): MECH 3355",1,component,0,,0,
BCIT,MECH 4490,Engineering Design/Projects, , ,"The typical engineering design process is covered, including the identification of customer needs, problem definition, development of product specifications, and conceptual design generation/selection techniques. Other topics include design project management, tolerance analysis, Design for Manufacturing and Assembly (DFMA), Design for Environment (DFE), Design for Safety (DFS), Failure Modes and Effects Analysis (FMEA), product design economics, prototyping, and patent/intellectual property. Students will concurrently apply the design process to a design project. A project proposal will be developed and presented. A technical report and where applicable, a prototype of the design will be created and presented.Prerequisite(s): ELEX 2845 and MECH 3340 and MECH 3346 and MECH 3355 and COMM 2269** (** must be taken concurrently)",18,"assembly, conceptual design, customer need, customer, design for environment, design for manufacturing, design process, design project, dfe, engineering design, failure mode and effect analysis, fmea, intellectual property, problem definition, product, product specification, prototype, specification",0,,0,
BCIT,CHEM 7105,Chemistry for Mechanical Engineering, , ,"This course provides an overview of the basic principles in general chemistry with practical applications. Topics covered include: atomic structure, theories of chemical bonding and molecular structure, stoichiometry, physical properties of molecules and materials, chemical equilibrium, electrochemistry, principles of chemical kinetics, and an introduction to organic chemistry. The material shows the relevance of chemistry in engineering emphasizing true problem solving over algebraic mastery.",1,material,0,,0,
BCIT,CHSC 7147,Materials Engineering, , ,"This course builds on the basics of heat treatment, failure analysis and materials properties learned in Engineering Materials 1 and 2. It provides a comparison of materials, as well as an overview of the latest advances in materials, emphasizing the relationship among material properties, microstructure and optimum material selection for design applications. Topics to be covered include: a review of key engineering properties and their measurement; design concepts, sources of material property data; the methodology of materials selection; assessment and optimization of performance; material processing and manufacturing issues, and the role of failure analysis in facilitating / improving design. Case studies in engineering material and process selection as well as failure analysis will also be examined.Prerequisite(s): CHSC 2205",3,"concept, material selection, material",1,optimization,0,
BCIT,ENGR 3800,Introduction to Professional Engineering, , ,"This course explores the practice of engineering and the role of engineers in society. Topics include professional associations, ethics, equity, design and development, standards, and intellectual property. Prerequisite(s): Electrical: COMM 1143 and COMM 1243, Mechanical: COMM 2269, Mining: COMM 2451Prerequisite(s): (COMM 1143 and COMM 1243) or COMM 2269 or COMM 2451",2,"intellectual property, standard",1,association,0,
BCIT,MATH 7195,Probability and Statistics for Engineers, , ,"Descriptive data analysis also including run charts, Pareto, and process capability. Calculus of relevant probability distribution models. Applications to reliability and operating characteristic (OC) curves. Large and small sample estimation and hypothesis testing. Linear regression and correlation. Introduction to acceptance sampling and statistical process control (SPC) applications. Goodness of fit tests and one-way analysis of variance (ANOVA). A calculator and statistical software package will be utilized. This course provides a solid foundation in statistics and SPC for students challenging the American Society for Quality's Certified Quality Engineer Examination.Prerequisite(s): Entry in 3rd year of Mechanic B.Eng.",3,"model, quality, reliability",3,"linear regression, regression, variance",0,
BCIT,MECH 7171,Engineering Programming, , ,"In this course students will develop efficient, modular, well-documented programs with consistent style. Topics include logical algorithm development, code formatting and commenting, constants and variables, conditional logic, loops, arrays, structures, pointers, strings, file I/O, functions, and dynamic memory allocation. Students will develop programs that are typical in an engineering environment and develop debugging skills.Prerequisite(s): MECH 1171",1,function,1,algorithm,0,
BCIT,ELEX 7345,Electronics and Microcontrollers, , ,"This course develops the skills mechanical engineers need to interact with electronic systems, primarily in embedded applications. The bulk of the course deals with microcontrollers including: memory, assembly language, C programming, memory-mapped I/O, parallel and serial I/O, interrupts, and timers. Also, the design of operational amplifier circuits for signal conditioning is covered including: ideal op-amps in inverting, non-inverting, summing, and differential configurations; practical op-amps; and simple filters.Prerequisite(s): MECH 7171",1,assembly,0,,0,
BCIT,ELEX 7350,Control and Dynamic Systems, , ,"This course builds on the control theory in previous courses and gives students the tools used in industry to analyse complex control problems. Starting with the modeling of mechanical, electrical and thermo-fluid dynamic systems using differential equations the course moves through the use of Laplace transforms to the analysis of control systems using root locus and frequency response methods. The design of compensation is introduced with applications in the laboratory. Common engineering software (Matlab and Simulink) are used throughout the course to model, design and evaluate control system performance.",1,model,0,,0,
BCIT,ENGR 7480,"Environment, Energy and Engineering", , ,"The course deals with environmental problems, Green House Gas (GHG) emissions and effects, sustainable energy and their resources and effects, the scientific background needed to understand these issues, and the role of engineers in solving relevant challenges. Topics covered include the science of global warming, ecology, energy resources, energy production and consumption, clean energy technology and systems, hazardous wastes, and environmental effects of product life cycles. Students will use knowledge learned to complete projects aimed at sustainable design. The scientific relationships among environmental issues, the need for clean/renewable energy, and sustainable engineering practice and design will be established and explained.Prerequisite(s): CHEM 7105 or (CHEM 3615 and MECH 4640)",3,"life cycle, product, product life cycle",0,,0,
BCIT,LIBS 7001,Critical Reading and Writing, , ,"This is a course in advanced composition and rhetoric, in which students will develop skills in complex critical analysis and interpretation by analyzing and evaluating materials from a variety of discourses or genres, including visual, online, and print; developing and writing essays, including critiques and research papers; applying and discussing principles of rhetoric and critical theory; examining and using methods of interpretation and analysis from the humanities and social sciences; evaluating the credibility of primary and secondary sources, including as it applies to media literacy, and for the purposes of academic research; situating discourses within their historical context and relevant to rhetorical theories of different periods (for example, Aristotle in the ancient world and Bakhtin in the twentieth century). The course format will include lecture, discussion, and both individual and group activities.Prerequisite(s): BCIT ENGL 1177 or (equivalent), OR 6 credits BCIT Communication at 1100-level or above.",1,material,0,,0,
BCIT,MATH 7295,Numerical Methods, , ,"The course extends the introduction of numerical methods in MATH 3499 to more advanced algorithms and an analysis of error, convergence and stability. Topics covered include the numerical solution of initial- and boundary-value problems involving ordinary differential equations; an introduction to partial derivatives; the numerical solution of partial differential equations of engineering interest; matrix decomposition methods and numerical methods for linear algebra.Prerequisite(s): MECH 7171",1,decomposition,1,algorithm,0,
BCIT,MECH 7225,Fluid Mechanics 2, , ,"This course covers select topics in fluid mechanics. Topics include control-volume analysis, governing equations in differential form (Navier-Stokes equations), stream function, vorticity, and velocity potential, flow past immersed bodies, boundary layer theory and compressible flow.Prerequisite(s): MECH 3325 and MECH 7171",1,function,0,,0,
BCIT,MECH 7240,Mechanics of Solids, , ,"Represents a second course in strength of materials and introduces calculus in the conceptual representation of stress, strain and deflection, tension, compression, shear, torsion, deflection and buckling of material under load. Additional topics included are: stress/strain transformations; analysis of stress-strain relations, exact and approximate solutions bending of beams; bending of curved beams; torsion of prismatic bars, axisymetrically loaded members; energy methods; elastic stability, and plastic behaviour of materials. Buckling and stability of structures is also introduced and experimental strain measurement is covered by lectures and laboratory sessions.",1,material,0,,0,
BCIT,MECH 8135,Mechanical Engineering Laboratory, , ,"This course allows students to perform experiments in Mechanical Engineering. Students will be expected to apply their knowledge of Instrumentation, Measurement and Electronics to the measurement of forces, strain, pressure, temperature, flow, and other process parameters to draw conclusions based on their knowledge of heat transfer, thermodynamics, strength of materials, vibrations and fluid mechanics obtained in their other courses. The lecture portion of this course reviews and synthesizes students' knowledge of measurements and shows how these concepts apply to mechanical engineering. These concepts are directly applied in the laboratory component of the course.Prerequisite(s): ELEX 7345 and MATH 7295",3,"component, concept, material",0,,0,
BCIT,MECH 8145,Mechanical Vibrations, , ,"This course aims to develop students' fundamental knowledge and understanding of free and forced vibration of mechanical systems with and without damping, including steady state and transient vibrations; vibration of multi-degree of freedom systems; vibration isolation and modal analysis, vibration of continuous systems and beam vibrations. Introduction of Lagrange's equation for mechanical systems is also discussed. Common engineering software packages are used throughout the course to model, design and evaluate system performance.Prerequisite(s): MECH 7142",1,model,0,,0,
BCIT,MECH 8190,Capstone Project 1, , ,"This course covers project management for the engineering profession with reference to the project life cycle; project stakeholders; organizational influences; key general management skills; social-economic-environmental influences. A detailed elaboration is presented of the management processes associated with the initiating, planning, controlling executing and closing phases of a project. Students will be expected to apply the principles covered in this course to their Capstone Project.Prerequisite(s): Substantial completion of Level 5 and 6.",2,"life cycle, stakeholder",0,,0,
BCIT,LIBS 7007,Technology and Society, , ,"This course will explore the interrelationship between technology and society. The course will focus on how societal forces shape and are shaped by the meanings, development, spread, and uses of technology. Concepts, perspectives, and arguments from the social sciences and humanities will be studied and applied to analyze connections between society and technology.Prerequisite(s): BCIT ENGL 1177, or 6 credits BCIT Communication at 1100-level or above, or 3 credits of a university/college first-year social science or humanities course.",1,concept,0,,0,
BCIT,ENGR 7880,Engineering Law Ethics and Professionalism, , ,"This course addresses key issues in engineering law, ethics and professionalism. The course content promotes critical thinking about legal, moral, and ethical issues that electrical engineers face. Topics covered include contracts, torts, partnerships, liens, engineering liability, patents, copyrights, trademarks, hazards, standards, safety and legal and ethical concerns related to use of computer hardware and software. It also includes ethical principles in professional employment, engineering management, private practice, and consulting. It addresses the roles and responsibilities of the electrical engineer related to environmental stewardship, and the impact of electrical engineering practice on the environment. Finally, it covers the roles and responsibilities of professional engineering organizations, and the ritual of the calling of the Engineer.Prerequisite(s): ENGR 3800",1,standard,0,,0,
BCIT,MECH 8230,System Design, , ,"This course covers the modeling, analysis, and design of real-world dynamic systems composed of mechanical, electrical, and thermal-fluid elements. Emphasis is placed on the of exchange of energy and power between the different system elements. Power flow diagrams known as bond graphs are developed and used to generate a set of state-based equations, which are solved using Matlab. Students learn to develop, verify, analyze, and design multi-component models of electro-mechanical systems, culminating in a group design project.Prerequisite(s): ELEX 7350 and MATH 7295",3,"component, design project, model",0,,0,
BCIT,MECH 8290,Capstone Project 2, , ,"Provides the student with an opportunity to integrate and synthesize knowledge gained throughout their program to satisfy specific objectives and requirements. This two term course may take one of the following forms: 1) Group or individual design project: where groups contribute to the solution of a design project, and individuals specialize in various aspects of the design.2) Individual research project: original research or experimentation. Group or Individual project: involving design and analysis of an engineering system, typically posed by a company or organization.Prerequisite(s): MECH 8190",1,design project,0,,0,
BCIT,MECH 8242,Concurrent and Reliability Engineering, , ,"Introduces concurrent and reliability engineering and examines their application through study of the product and production process development models. Practical aspects of design for reliability are covered utilizing statistical modeling and prediction, data analysis, and testing. Design for manufacture and assembly, product life-cycle analysis and associated environmental concerns, are covered as integral components of concurrent and reliability engineering. Students will complete a design project.Prerequisite(s): MATH 7195",9,"assembly, component, design for reliability, design project, life cycle, model, product, product life cycle, reliability",0,,0,
BCIT,MECH 8250,Building Systems, , ,"This course covers the integrated mechanical systems for buildings including HVAC, plumbing and fire protection systems. It includes the applications of heat and mass transfer for the design of building HVAC systems, an overview of the multi-discipline engineering building design process and an overview of building plumbing and fire protection systems engineering. Students will complete a design project.Prerequisite(s): MECH 8120",2,"design process, design project",0,,0,
Carleton,CHEM 1101,Chemistry for Engineering Students, , ,"Topics include stoichiometry, atomic and molecular structure, thermodynamics and chemical equilibrium, acid-base chemistry, carbon dioxide in water, alkalinity, precipitation, electrochemistry, kinetics and basic organic chemistry. Laboratory component emphasizes techniques and methods of basic experimental chemistry.",1,component,0,,0,
Carleton,ECOR 1041,Computation and Programming, , ,"Software development as an engineering discipline, using a modern programming language. Language syntax and semantics. Tracing and visualizing program execution. Program style and documentation. Testing and debugging tools and techniques.",1,documentation,0,,0,
Carleton,ECOR 1042,Data Management, , ,"Introduction to designing and implementing numerical algorithms. Container data types: sequences, sets, maps. Modules. Data files. Incremental, iterative development of programs. Number systems: binary, decimal. Digital representation of integers and floating point numbers.",0,,1,algorithm,0,
Carleton,ECOR 1043,Circuits, , ,"Electrical Quantities (Voltage, Charge, Current, Power). Conservation of charge and energy. Mathematical models of simple devices. Elementary circuit theory for passive elements. Thévenin's and superposition theorem. Signal filtering and amplification. Time and frequency domain. Circuit design and simulation.",1,model,0,,0,
Carleton,ECOR 1044,Mechatronics, , ,"Mechatronics applications. Analog to digital signal conversion. Control systems and PID controllers. Input devices, including sensors. Data collection and processing. Output devices, including displays, actuators, and motors. Project design and economics. Environmental Impact of mechatronics engineering. System failures and failsafe design.",1,environmental impact,0,,0,
Carleton,ECOR 1045,Statics, , ,Cartesian vector representation of forces. Components of forces. Particle equilibrium and free body diagrams. Moments and cross product. Centre of gravity and centroids. Rigid body equilibrium.,2,"component, product",0,,0,
Carleton,ECOR 1047,Visual Communication, , ,"Graphs and sketches, flow charts, block diagrams. Visual presentation, projection and perspectives of objects. 3D sketching. Free hand drawing. Reading engineering drawings and schematics. Introduction to scaling, dimensioning and tolerancing. Introduction to CAD.",3,"cad, drawing, sketch",0,,0,
Carleton,MATH 1004,Calculus for Engineering or Physics, , ,"Limits. Differentiation of the elementary functions. Rules of differentiation. Inverse trigonometric functions. Applications of differentiation: max-min problems, curve sketching, approximations. Definite and indefinite integrals, techniques of integration. Applications to areas and volumes.",1,function,0,,0,
Carleton,MATH 1104,Linear Algebra for Engineering or Science, , ,"Systems of linear equations. Matrix algebra. Determinants. Invertible matrix theorem. Cramer’s rule. Vector space R^n; subspaces, bases. Eigenvalues, diagonalization. Linear transformations, kernel, range.  Complex numbers (including De Moivre’s theorem). Inner product spaces and orthogonality. Applications.",1,product,0,,0,
Carleton,ECOR 1057,Engineering Profession, , ,"Professional Engineers Act. Engineering documentation. History of the profession. Engineering practice: system life cycle, practice within the discipline, designing with others. Health and safety. Engineering Ethics, Equity and Diversity. Introduction to engineering law : Business, Entrepreneurship and Intellectual Property.",3,"documentation, intellectual property, life cycle",0,,0,
Carleton,ECOR 2050,Design and Analysis of Engineering Experiments, , ,"Statistics and the design of engineering experiments. Basic exploratory data analysis. Central limit theorem. Hypothesis testing: t-test, chi-square test, type-I and type-II errors, multiple-comparison problem.  Statistical bias.  Design of experiments: randomization, blocking and replication, randomized blocking designs, factorial design. Statistical software packages.",1,design of experiment,2,"bias, central limit theorem",0,
Carleton,MAAE 2001,Engineering Graphical Design, , ,"Engineering drawing techniques; fits and tolerances; working drawings; fasteners. Elementary descriptive geometry; true length, true view, and intersection of geometric entities; developments. Assignments will make extensive use of Computer-Aided Design (CAD) and will include the production of detail and assembly drawings from actual physical models.",6,"assembly, assembly drawing, cad, computer aided design, drawing, model",0,,0,
Carleton,MAAE 2202,Mechanics of Solids I, , ,Review of Principles of Statics; friction problems; Concepts of stress and strain at a point; statically determinate and indeterminate stress systems; torsion of circular sections; bending moment and shear force diagrams; stresses and deflections in bending; buckling instability.,1,concept,0,,0,
Carleton,MAAE 2300,Fluid Mechanics I, , ,"Fluid properties. Units. Kinematics, dynamics of fluid motion: concepts of streamline, control volume, steady and one-dimensional flows; continuity, Euler, Bernoulli, steady flow energy, momentum, moment of momentum equations; applications. Fluid statics; pressure distribution in fluid at rest; hydrostatic forces on plane and curved surfaces; buoyancy.",1,concept,0,,0,
Carleton,MAAE 2400,Thermodynamics and Heat Transfer, , ,"Basic concepts of thermodynamics: temperature, work, heat, internal energy and enthalpy. First law for closed and steady-flow open systems. Thermodynamic properties of pure substances; changes of phase; equation of state. Second law: entropy. Simple power and refrigeration cycles. Introduction to heat transfer: conduction, convection, radiation.",1,concept,0,,0,
Carleton,MAAE 2700,Engineering Materials, , ,"Materials (metals, alloys, polymers) in engineering service; relationship of interatomic bonding, crystal structure and defect structure (vacancies, dislocations) to material properties; polymers, phase diagrams and alloys; microstructure control (heat treatment) and mechanical properties; material failure; corrosion.",1,material,0,,0,
Carleton,MATH 2004,Multivariable Calculus for Engineering or Physics, , ,"Curves and surfaces. Polar, cylindrical and spherical coordinates. Partial derivatives, gradients, extrema and Lagrange multipliers. Exact differentials. Multiple integrals over rectangular and general regions. Integrals over surfaces. Line integrals. Vector differential operators. Green’s Theorem, Stokes’ theorem, Divergence Theorem. Applications.",0,,1,gradient,0,
Carleton,ECOR 3800,Engineering Economics, , ,Introduction to engineering economics; cash flow calculations; methods of comparison of alternatives; structural analysis; replacement analysis; public projects; depreciation and income tax; effects of inflation; sensitivity analysis; break-even analysis; decision making under risk and uncertainty.,1,engineering economics,0,,0,
Carleton,MAAE 3500,Feedback Control Systems, , ,"Introduction to the linear feedback control. Analysis and design of classical control systems. Stability and the Routh-Hurwitz criteria. Time and frequency domain performance criteria, robustness and sensitivity. Root locus, Bode and Nyquist design techniques. Control system components and industrial process automation.",1,component,0,,0,
Carleton,MECH 3002,Machine Design and Practice, , ,"The design of mechanical machine elements is studied from theoretical and practical points of view. Topics covered include: design factors, fatigue, and discrete machine elements. Problem analysis emphasizes the application to practical mechanical engineering problems.",1,design factor,0,,0,
Carleton,MECH 3700,Principles of Manufacturing, , ,"Manufacturing processes, materials. Casting: solidification and heat flow theory, defect formation, casting design. Metal forming: elementary plasticity theory, plastic failure criteria, force and work calculations. Bulk and sheet forming. Joining: heat flow and defect formation, residual stresses. Machining theory and methods. Hardening: diffusion, wear resistance.",1,material,0,,0,
Carleton,SYSC 3600,Systems and Simulation, , ,Properties of linear systems. Linear dynamic models of engineering systems. Applications of the Laplace transform. Transfer functions. Block diagrams. Frequency and time response. System simulation with digital computers.,2,"function, model",0,,0,
Carleton,ECOR 4995,Professional Practice, , ,"Presentations by faculty and external lecturers on the Professional Engineers   Act, professional ethics and responsibilities, practice within the discipline and its relationship with other disciplines and to society, health and safety, environmental stewardship, principles and practice of sustainable development. Communication skills are emphasized.",1,sustainable development,0,,0,
Carleton,MAAE 4102,Materials: Strength and Fracture, , ,"Analysis and prevention of failures in metals; plasticity analysis and plastic collapse; micro-mechanisms of fracture, conditions leading to crack growth and transition temperature effects, fracture mechanics, fatigue, environmentally assisted cracking, non-destructive evaluation and testing.",1,material,0,,0,
Carleton,MAAE 4907,Engineering Design Project, , ,"Team project in the design of an aerospace, biomedical, mechanical, or sustainable energy system. Opportunity to develop initiative, engineering judgement, self-reliance, and creativity in a team environment. Results submitted in a comprehensive report as well as through formal oral presentations.",3,"creativity, design project, engineering design",0,,0,
Carleton,MECH 4003,Mechanical Systems Design, , ,"Design of mechanical systems: establishing design criteria, conceptual design, design economics, value analysis, synthesis and optimization. Mechanical elements/systems: gear and flexible drive systems, fluid power systems. These elements are utilized in group design projects.",2,"conceptual design, design project",1,optimization,0,
Carleton,ELEC 4602,Electrical Power Systems, , ,"The electric power system. Components: power transformers and connections, transmission lines.  Analysis: balanced and unbalanced three-phase systems, symmetrical components, load flow, FACTS. Operation: frequency and voltage control, steady state and transient stability, fault protection. Distribution systems: utility, residential, commercial. Electrical safety: code, grounding/bonding.",1,component,0,,0,
