School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
York,SC/MATH 1014,Applied Calculus II, , ,"Calculus in Polar Coordinates. Techniques of Integration. Indeterminate Forms. Improper Integrals. Sequences, infinite series and power series. Approximations. Introduction to ordinary differential equations. Prerequisite(s): One of SC/MATH 1013 3.00, SC/MATH 1300 3.00, GL/MATH 1901 3.00, or SC/ISCI 1401 3.00 ; for non-science students only, six credits from SC/MATH 1530 3.00 and SC/MATH 1540 3.00, SC/MATH 1550 6.00, AP/ECON 1530 3.00 and AP/ECON 1540 3.00. Course credit exclusions: SC/MATH 1310 3.00, SC/MATH 1505 6.00, GL/MATH/MODR 1940 3.00, SC/ISCI 1402 3.00, SC/ISCI 1410 6.00."
York,SC/MATH 1025,Applied Linear Algebra, , ,"Topics include spherical and cylindrical coordinates in Euclidean 3-space, general matrix algebra, determinants, vector space concepts for Euclidean n-space (e.g. linear dependence and independence, basis, dimension, linear transformations etc.), an introduction to eigenvalues and eigenvectors. Prerequisites: 12U Advanced functions (MHF4U) or equivalent. Course credit exclusions: SC/MATH 1021 3.00, SC/MATH 2221 3.00, GL/MATH/MODR 2650 3.00."
York,SC/MATH 2015,Applied Multivariate and Vector Calculus, , ,"Topics covered include partial derivatives; grad, div, curl and Laplacian operators; line and surface integrals; theorems of Gauss and Stokes; double and triple integrals in various coordinate systems; extrema and Taylor series for multivariate functions. Prerequisite: One of SC/MATH 1010 3.00, SC/MATH 1014 3.00, SC/MATH 1310 3.00; or SC/MATH 1505 6.00 plus permission of the course coordinator. Course credit exclusions: SC/MATH 2010 3.00, SC/MATH 2310 3.00, GL/MATH 2670 3.00, GL/MODR 2670 3.00, GL/MATH 3200 3.00."
York,SC/MATH 2930,Introductory Probability and Statistics, , ,"This is an applied probability and statistics course for engineering students. The aim is to provide an application oriented introduction to probability and statistics. The examples will be from a wide selection of engineering disciplines. The probability component is about 30% of the lectures. About 40% of the time, the lectures and tutorials focus on solving practical statistical problems that emerge from engineering problems. Prerequisites: SC/MATH 1014 3.00 or equivalent; SC/MATH 1025 3.00 or equivalent; LE/EECS 1011 3.00 or equivalent. Course credit exclusions: SC/MATH 1131 3.00; SC/MATH 2560 3.00; SC/MATH 2570 3.00; SC/MATH 2565 3.00."
York,SC/PHYS 1800,Engineering Mechanics, , ,"Survey of the fundamental concepts of statics and dynamics with an emphasis on engineering applications. This is a calculus-based course intended primarily for engineering students. Prerequisites: 12U Physics or OAC Physics or SC/PHYS 1510 4.00. MHF4U Advanced Functions and MCV4U Calculus and Vectors, or 12U Advanced Functions and Introductory Calculus, or OAC Algebra and OAC Calculus. Corequisites: SC/MATH 1013 3.00 or SC/MATH 1300 3.00 or SC/MATH 1505 6.00. Course Credit Exclusions: SC/PHYS 1010 6.00, SC/PHYS 1410 6.00, SC/PHYS 1420 6.00; SC/ISCI 1310 6.00; SC/ISCI 1301 3.00."
York,SC/PHYS 1801,"Electricity, Magnetism and Optics for Engineers", , ,"A survey of physics in which fundamental concepts in electricity, magnetism and optics are emphasized through engineering applications. This is a calculus-based course intended primarily for engineering students. Prerequisite: SC/PHYS 1800 3.00 and SC/MATH 1013 3.00 or equivalent.  Corequisites: SC/MATH 1014 3.00 or SC/MATH 1310 3.00 or SC/MATH 1505 6.00. Course Credit Exclusions: SC/PHYS 1010 6.00, SC/PHYS 1410 6.00, SC/PHYS 1420 6.00; SC/ISCI 1310 6.00; SC/ISCI 1302 3.00."
York,LE/ESSE 1012,The Earth Environment, , ,"Provides essential topics in Earth environment (Earth and oceanic science, atmospheric science, and geology) and explores the role played by global and local scale processes in shaping our planet. Concepts are described; the latest technology discussed, and links between engineering disciplines are provided. The course lectures are complemented by hands-on laboratory and field experience. Prerequisites: 12U calculus and vectors or 12U advanced functions, or SC/MATH 1515 3.00; 12U physics or SC/PHYS 1510 4.00. Corequisites: LE/ENG 1101 4.00; LE/ENG 1102 4.00; SC/PHYS 1800 3.00, SC/PHYS 1801 3.00."
York,SC/MATH 2271,Differential Equations for Scientists and Engineers, , ,"Introduction to ordinary and partial differential equations, including their classification, boundary conditions, and methods of solution. Equations, methods, and solutions relevant to science and engineering are emphasized, and exploration is encouraged with the aid of software. Three lecture hours per week. One term. Three credits. Prerequisites: One of SC/MATH 2015 3.00, SC/MATH 2310 3.00 or equivalent; one of SC/MATH 1025 3.00, SC/MATH 2022 3.00, SC/MATH 2222 3.00 or equivalent. Course Credit Exclusions: SC/MATH 2270 3.00, GL/MATH 3400 3.00."
York,LE/MECH 2112,Mechanical Engineering: Professionalism and Society, , ,"In this course, students explore their role in the profession of mechanical engineering and the relationship between mechanical engineering and society. Students learn about the role of engineering in society, human-centred design principles, working with communities, and technological stewardship principles. These are applied through a major project completed outside of the classroom (e.g. in partnership with a local community or external organization). The course also focuses on various career paths and opportunities, e.g. options in government, private industry, not-for-profit sector, graduate education, entrepreneurial opportunities and technology protection. Students are required to build their professional network, for example, through attending networking events and conducting informational interviews. Finally, this course discusses the professional matters including the value of diversity, allyship in the workplace, life-long learning strategies, working in teams, and giving & receiving feedback. Guest lecturers from industry and other appropriate bodies will be used to provide a firsthand knowledge from practicing engineers and other professionals. Course credit exclusion: LE/MECH 2100 1.00, LE/MECH 2102 2.00. Prerequisite: LE/ENG 1101 4.00."
York,LE/MECH 2201,Thermodynamics, , ,"This course covers properties and behaviour of substances, first and second laws of thermodynamics, applications of thermodynamics laws to closed and open systems, and availability. Prerequisites: SC/PHYS 1800 3.00."
York,LE/MECH 2202,Heat and Flow Engineering Principles, , ,"This course covers introduction to modes of heat transfer, 1D heat conduction fluids, properties of fluids, principles of fluid mechanics, fluid statics and internal flows, surface tension and capillarity. Prerequisites: SC/MATH 1013 3.00, SC/MATH 1014 3.00, and SC/PHYS 1800 3.00."
York,LE/MECH 2301,Mechanics of Material 1, , ,"This course covers normal and shear stresses and strains in deformable bodies, axial, torsion loading, multi-axis stress analysis, beam bending and analysis of mechanical systems (e.g., pressure vessels, and buckling of columns; design for strength and deflection of a member.)  Prerequisites: SC/MATH 1013 3.00, SC/MATH 1014 3.00, and SC/PHYS 1800 3.00."
York,LE/MECH 2302,Dynamics, , ,"This course covers kinematics and kinetics of rigid body motion  based on concepts of force, work, momentum and energy methods; impact; engineering applications are emphasized. Prerequisites: SC/MATH 1013 3.00, SC/MATH 1014 3.00, and SC/PHYS 1800 3.00."
York,LE/MECH 2401,Engineering Graphics & CAD Modeling, , ,"This course discusses technical drawing principles, introduction and application of computer aided design tools, and solid modeling. Simple model parts, which can be assembled together, are fabricated in teams (e.g., using additive technology). Prerequisite: LE/ENG 1102 4.00. Cross-listed: LE/ESSE 2401 3.00."
York,LE/MECH 2412,Mini Design Project 1, , ,"The course consists of two main modules. The first module covers workshop safety, and introduces and practices of various subtractive manufacturing methods (e.g., cutting, drilling, machining). The second module includes a review of the design process, project planning techniques, and effective project and team management skills. The student will work in teams and will apply the fundamental concepts of the design process through completing a mini design project. Course credit exclusions: LE/MECH 2402 2.00, LE/MECH 2501 2.00. Prerequisites: LE/ENG 1102 4.00, LE/MECH 2401 3.00."
York,LE/MECH 2502,Instrumentation and Measurement Techniques, , ,"This course covers underlying physics and design of measurement systems for various phenomena, instrumentation systems and computerized data acquisition, as well as data presentation strategies and related statistics. Prerequisites: SC/MATH 1013 3.00, SC/MATH 1014 3.00, SC/MATH 1025 3.00, LE/EECS 1011 3.00."
York,LE/EECS 3505,Electrical Systems for Mechanical Engineers, , ,"Many mechanical systems today are integrated with electrical systems. This course will prepare students to work on electromechanical systems by introducing them to topics such as: The basics of circuit analysis and setup, as well as electronics; power systems including 3-phase; DC and AC motors; electro-mechanical actuators; and, time permitting, basics of communication protocols. Prerequisites: SC/PHYS 1801 3.00, LE/MECH 2502 3.00."
York,LE/MECH 3201,Engineering Thermodynamics, , ,"This course continues the learning in thermodynamics, including topics such as: Analysis and application of energy compression cycles, vapor compression cycles and application to HVAC systems; combustion and/or compressible gas flow in conduits (adiabatic and isothermal). Students will examine the various implications of the laws of thermodynamics in complex systems relevant to mechanical engineering. Prerequisite: LE/MECH 2201 3.00."
York,LE/MECH 3202,Fluid Dynamics, , ,"Introduces key concepts and methods in solving problems in fluid mechanics. Topics covered include: External flow; boundary layers; momentum theories; similitude; fluid friction, drag and lift; fluid friction in pipes and minor losses; fluid machineries; pipe networks; time permitting flow at high Reynolds numbers including shock waves and/or turbulence. Students will formulate models that are needed to analyze and design fluid systems, and demonstrate strong problem solving skills appropriate to the engineering practice. Prerequisite: LE/MECH 2202 3.00."
York,LE/MECH 3203,Heat Transfer, , ,"This course will develop students' understanding and problem solving skills in topics of heat transfer, including: Steady and unsteady heat conduction (exact and numerical analysis); free and forced convection (internal and external); heat exchangers; thermal radiation; heat transfer with phase change. Students will extend their knowledge previously learnt in Heat and Flow Engineering Principles and Fluid Mechanics to solve engineering problems. Prerequisite: LE/MECH 3202 3.00."
York,LE/MECH 3302,Mechanisms for Mechanical Systems, , ,"This course covers topics including classifications of mechanisms; velocity, acceleration and force analysis (e.g., for linkages, cranks, sliders, and cams); balancing of rotating and reciprocating machinery; gears and gear-trains; graphical and computer-oriented methods of analysis for mechanisms; applications of different mechanisms in mechanical systems (e.g., engines, manufacturing systems). Prerequisite: LE/MECH 2302 3.00. Course credit exclusion: LE/ESSE 3340 3.00."
York,LE/MECH 3401,Mini Design Project 2, , ,"This project-based course involves a semester-long team project that is limited in scope, but open-ended and/or requiring multiple solutions. Students will also practice advanced machining techniques and apply them to fabricate parts in their projects. Lecture sessions are designed to provide complementary training in different areas of project execution such that students will be well prepared to succeed in their final year capstone project. Students have the option of choosing a project in any area of mechanical engineering; they are also encouraged to work in partnership with industry, consult a practicing engineer, and/or collaborate with students from a technical college. Evaluation criteria include written and oral communications of technical solutions, as well as economic analysis and/or other analyses related to entrepreneurial opportunities. Prerequisites: LE/MECH 2201 3.00; LE/MECH 2412 3.00 or LE/MECH 2402 2.00; LE/MECH 2502 3.00; LE/MECH 3202 3.00."
York,LE/MECH 3409,Machine Elements Design, , ,"Introduces methodology for mechanical design of components. It discusses topics including design for static and dynamic loads, failure analysis. fatigue, component design and selection for materials and machine elements, e.g. threaded joints, springs, gears, belt, chain, bearings, etc. Prerequisites: LE/MECH 2301 3.00, LE/MECH 2401 3.00. Course Credit Exclusion: LE/MECH 2409 3.00"
York,LE/MECH 3502,Solid Mechanics and Materials Laboratory, , ,"Building on the foundational knowledge in the mechanics of materials, this course introduces students to a number of measurement and characterization methods used for macro- and micro-systems. A selected number of laboratory experiments and demonstrations may include: strain measurements 
(e.g. strain gauges and/or speckles & interferometry method), deflection measurements, hardness, impact, non-destructive testing method for crack detection; material characterization methods including techniques such as SEM, AFM, nano-indentors, etc.; motion measurements, traditional and optical (using imaging methods, e.g. by a cell phone camera). Students will continue to develop their skills in data collection, analysis, and the presentation of findings. Prerequisites: SC/CHEM 1100 4.00; LE/MECH 2301 3.00; LE/MECH 2502 3.00."
York,LE/MECH 3503,Macro-and-Micro Manufacturing Methods, , ,"The ever-expanding range of scale in manufacturing presents unique challenges for engineers and manufacturers. This course will introduce students to the traditional macro-manufacturing methods and existing micro-manufacturing methods. Macro-manufacturing methods may include casting, forming and forging, machining (e.g. CNC and EDM), injection molding, additive manufacturing, treatments (heat, shot pinning, etc.). Micro-manufacturing methods will include those based on silicon, thin film and polymer technologies; Current trends and issues will be explored during selected field trips, laboratory visits, and/or through in-class activities. Prerequisite: LE/MECH 2412 3.00."
York,LE/MECH 3504,Thermofluid Laboratory, , ,"Building on the foundational knowledge of thermodynamics and basic skills in instrumentation, this course will provide students with an in-depth experience in measurement methods used in micro- and macro-systems. A select number of laboratory experiments and demonstrations will deal with thermodynamics (e.g. power cycles, or heat pumps), fluid mechanics (flow in the pipes and losses), fluid machines (e.g. pumps or fans), flow measurements techniques (e.g. from traditional to advanced optical systems e.g. PIV), conduction/convective and radiation heat transfer, heat exchangers, etc. Safety practices in laboratory environment are reinforced. Prerequisites: LE/MECH 2201 3.00; LE/MECH 2202 3.00; LE/MECH 2502 3.00."
York,LE/ENG  4550,Introduction to Control Systems, , ,"This course provides an introduction to classical control theory. From a base of dynamic system modeling the course will develop methods for modifying system behavior through feedback so as to produce desired performance and meet specifications in spite of disturbances and modeling errors. Students are expected to be versed in Linear Algebra, Ordinary Differential Equations, and Complex Variables. Signals and Systems would also be a definite asset. Prerequisites: SC/MATH 2015 3.00."
York,LE/MECH 4401,System Level Engineering, , ,"This course discusses system level analysis methodology for complex engineering cases (quantitative and qualitative methods/frameworks), technology selection, technology integration, and life cycle analysis. Prerequisites: ES/ENVS 2150 3.00 or LE/ESSE 2210 3.00."
York,LE/MECH 4402,Simulation Tools for Design & Analysis, , ,"This course provides an introduction to numerical modeling (e.g. finite element analysis) and commercial software of choice. The application of commercial software to a selected number of problems (e.g. stress analysis, heat transfer, and/or fluid flow, etc. to design or analyze a system) is discussed. Result verification/interpretation of numerical modeling are emphasized. Prerequisites: 
LE/MECH 2301 3.00 or LE/ENG 3330 3.00, LE/MECH 3203 3.00 or LE/ESSE 3360 3.00, and LE/MECH 2401 3.00."
York,LE/MECH 4502,Vibrations, , ,"This course discusses free and forced vibration single degree of freedom systems with and without damping, steady state and transient vibrations, vibration of multi-degree of freedom systems, vibration isolation and modal analysis, and beam vibrations. Prerequisites: SC/MATH 2271 3.00. Corequisite: LE/ENG 4550 3.00."
York,LE/MECH 4504,Life-cycle Analysis and Sustainability, , ,"This course discusses the notion of ""triple bottom-line"" or triple-E (energy, environment, economics), life Cycle inventory, computational structure of LC inventory, case studies and execution of a mini- LCA, as well as strengths, weaknesses and appropriate uses of LCA. Prerequisites: ES/ENVS 2150 3.00 or LE/ESSE 2210 3.00. Corequisite: LE/MECH 4401 3.00."
York,LE/MECH 4201,Transport Phenomena, , ,"Introduction to constitutive equations and basic principles for mass transport, momentum transport and/or energy transport at two different scales of macroscopic and microscopic; examples from novel and traditional mechanical systems and applications are discussed. Prerequisites: LE/MECH 3201 3.00; LE/MECH 3203 3.00"
York,LE/MECH 4202,Aerodynamics, , ,"This course is a first course specialized in aerodynamics. In this course the flow over aerofoils, wings, and bluff bodies are studied. Potential flow is used to develop the theory of flow over aerofoils and wings, using classical and numerical methods, such as thin-aerofoil theory, vortex panel methods, and lifting-line theory. Additional topics include compressible flows, supersonic aerofoils and aircraft performance. Prerequisite: LE/MECH 3201 3.00 and LE/MECH 3202 3.00"
York,LE/MECH 4203,Energy Conversion and Storage, , ,"This course gives a comprehensive view of energy conversion processes and technologies in the context of the global energy system. A cohesive thermodynamic framework is developed to evaluate any energy conversion process or technology. The framework is used to understand how energy is transformed from a primary energy source to its ultimate end use. The concepts of primary energy, secondary energy, energy-use sectors (industrial, transportation, residential, commercial, and electric power sectors), energy transmission, and energy storage are illustrated. Electricity generation technologies, including fossil fuels, nuclear, solar, wind, and hydroelectricity, are analyzed and compared in terms of efficiency, cost, and environmental impact. End uses other than electricity, including space heating, industrial process heat, and transportation are emphasized. The requirements for transitioning the Canadian and global energy systems to a sustainable system based on renewable and carbon-neutral technologies are discussed. Prerequisite: LE/MECH 3201 3.00 and LE/MECH 3203 3.00"
York,LE/MECH 4301,Introduction to Composite Materials, , ,"This course will cover the design, fabrication, and analysis, of composite polymer composites and nanocomposites. Topics include: Introduction to polymers and their composites. Processing technologies to fabricate polymer composites and nanocomposites, micro-mechanics of composite lamina, macro-mechanics of composite lamina, analysis of composite laminates (Classical Laminate Plate Theory), failure analysis of composite laminates, design of laminated structures, applications and research on polymer composites and nanocomposites.  Prerequisites: SC/MATH 1025 3.00 and LE/MECH 3502 3.00."
York,LE/MECH 4510,Advanced Mechanical Technologies, , ,"This course discusses non-traditional and interdisciplinary areas that mechanical engineers work for as well as analysis of assumptions, governing laws, behavior, and forces for a set of non-traditional systems (e.g. micro-fluidic systems, MEMS, electro-chemical-mechanical systems, biomedical devices, biological systems, etc.). Prerequisites: SC/MATH 2015 3.00, LE/MECH 2202 3.00, and LE/EECS 3505 3.00"
York,LE/MECH 4512,Principles of Bioengineering, , ,"Introduction to contemporary themes in bioengineering including: biological concepts for engineers; cell and tissue engineering; regenerative medicine and stem cells, bionanotechnology, biomaterials, drug screening, bioreactors, biotechnology, bioinformatics, genetic engineering, clinical trials and regulations. Pre-requisites: 21 3000-level science or engineering credits including MECH 3503 3.00
Date submitted: 2018-01-09"
York,LE/ENG  4650,Feedback Control Systems, , ,This course teaches fundamentals of control design and analysis using state-space methods. This includes both the practical and theoretical aspects of the topic. The students are expected to design controllers using state-space methods and evaluate the control performance and validate if these controllers are robust to system uncertainties and external disturbances. Prerequisites: LE/ENG 4550 3.00 or the following combination of courses: SC/MATH 3410 3.00; SC/MATH 2270 3.00 or SC/MATH 2271 3.00; SC/MATH 2022 3.00.
